time_stamp,humidity,humidity_a,humidity_b,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b
2023-04-01T00:00:00Z,68.3,68.3,,12.1,12.6,11.7,21.0485,21.739,20.358,21.0485,21.739,20.358
2023-04-01T03:00:00Z,54.534,54.534,,2.5,2.7,2.3,3.6625,3.926,3.399,3.6625,3.926,3.399
2023-04-01T04:00:00Z,57.966,57.966,,3.5,3.8,3.2,5.4384999999999994,5.835,5.042,5.4384999999999994,5.835,5.042
2023-04-01T05:00:00Z,44.633,44.633,,4.6,5.1,4.2,8.032,8.572,7.492,8.032,8.572,7.492
2023-04-01T06:00:00Z,45.8,45.8,,6.5,7.2,5.9,12.521,13.498,11.544,12.521,13.498,11.544
2023-04-01T07:00:00Z,45.6,45.6,,6.8,7.5,6.1,13.081,14.03,12.132,13.081,14.03,12.132
2023-04-01T08:00:00Z,49.3,49.3,,7.6,8.4,6.8,15.139999999999999,16.333,13.947,15.139999999999999,16.333,13.947
2023-04-01T09:00:00Z,52.1,52.1,,7.8,8.7,7,15.956,17.171,14.741,15.956,17.171,14.741
2023-04-01T10:00:00Z,56.921,56.921,,7.3,8.2,6.5,15.5945,16.931,14.258,15.5945,16.931,14.258
2023-04-01T11:00:00Z,65.867,65.867,,7,7.9,6.2,15.424,16.959,13.889,15.424,16.959,13.889
2023-04-01T12:00:00Z,64.033,64.033,,6.5,7.2,5.8,14.245999999999999,15.555,12.937,14.245999999999999,15.555,12.937
2023-04-01T13:00:00Z,57.8,57.8,,2.6,2.9,2.3,4.896,5.479,4.313,4.896,5.479,4.313
2023-04-01T14:00:00Z,59.1,59.1,,1.8,2.1,1.6,2.705,3.122,2.288,2.705,3.122,2.288
2023-04-01T15:00:00Z,58.8,58.8,,2.2,2.4,1.9,3.6205,4.183,3.058,3.6205,4.183,3.058
2023-04-01T16:00:00Z,56.4,56.4,,2.2,2.5,1.9,3.3905,3.893,2.888,3.3905,3.893,2.888
2023-04-01T17:00:00Z,52.334,52.334,,1.3,1.4,1.1,1.5474999999999999,1.887,1.208,1.5474999999999999,1.887,1.208
2023-04-01T18:00:00Z,48.4,48.4,,0.7,0.8,0.6,0.47550000000000003,0.631,0.32,0.47550000000000003,0.631,0.32
2023-04-01T19:00:00Z,48.708,48.708,,1.1,1.2,0.9,1.0625,1.361,0.764,1.0625,1.361,0.764
2023-04-01T20:00:00Z,48,48,,1.5,1.7,1.3,1.9969999999999999,2.318,1.676,1.9969999999999999,2.318,1.676
2023-04-01T21:00:00Z,46.733,46.733,,1.8,2.1,1.5,2.6384999999999996,3.179,2.098,2.6384999999999996,3.179,2.098
2023-04-01T22:00:00Z,47.833,47.833,,2.1,2.4,1.8,3.4545,4.018,2.891,3.4545,4.018,2.891
2023-04-01T23:00:00Z,47.166,47.166,,2.7,3,2.4,4.8915,5.513,4.27,4.8915,5.513,4.27
2023-04-02T00:00:00Z,46.334,46.334,,3.1,3.4,2.8,5.811,6.486,5.136,5.811,6.486,5.136
2023-04-02T01:00:00Z,45.034,45.034,,3.1,3.4,2.7,5.724,6.376,5.072,5.724,6.376,5.072
2023-04-02T02:00:00Z,47.933,47.933,,4.1,4.5,3.7,7.948,8.579,7.317,7.948,8.579,7.317
2023-04-02T03:00:00Z,50.067,50.067,,3.1,3.4,2.8,5.781499999999999,6.375,5.188,5.781499999999999,6.375,5.188
2023-04-02T04:00:00Z,50.067,50.067,,2.4,2.7,2.1,4.2405,4.739,3.742,4.2405,4.739,3.742
2023-04-02T05:00:00Z,50,50,,2.4,2.7,2.2,4.2645,4.739,3.79,4.2645,4.739,3.79
2023-04-02T06:00:00Z,51,51,,2.1,2.3,1.8,3.3065,3.744,2.869,3.3065,3.744,2.869
2023-04-02T07:00:00Z,51.367,51.367,,1.7,1.9,1.5,2.2545,2.599,1.91,2.2545,2.599,1.91
2023-04-02T08:00:00Z,52.534,52.534,,2.1,2.4,1.9,3.4575,3.792,3.123,3.4575,3.792,3.123
2023-04-02T09:00:00Z,53.966,53.966,,2.8,3.2,2.5,5.2455,5.893,4.598,5.2455,5.893,4.598
2023-04-02T10:00:00Z,56.4,56.4,,5,5.6,4.4,10.646,11.886,9.406,10.646,11.886,9.406
2023-04-02T11:00:00Z,57.133,57.133,,6.3,7,5.5,13.6735,15.004,12.343,13.6735,15.004,12.343
2023-04-02T12:00:00Z,56.3,56.3,,5.4,6.1,4.8,11.72,13.162,10.278,11.72,13.162,10.278
2023-04-02T13:00:00Z,53.433,53.433,,7.2,7.9,6.5,15.706,17.155,14.257,15.706,17.155,14.257
2023-04-02T14:00:00Z,49.567,49.567,,7.2,7.9,6.5,15.264500000000002,16.492,14.037,15.264500000000002,16.492,14.037
2023-04-02T15:00:00Z,43.667,43.667,,7,7.6,6.3,14.0095,15.076,12.943,14.0095,15.076,12.943
2023-04-02T16:00:00Z,39.233,39.233,,6.9,7.5,6.2,13.151,14.151,12.151,13.151,14.151,12.151
2023-04-02T17:00:00Z,39.067,39.067,,6.2,6.8,5.6,11.5245,12.349,10.7,11.5245,12.349,10.7
2023-04-02T18:00:00Z,36.234,36.234,,5.1,5.5,4.7,8.918,9.347,8.489,8.918,9.347,8.489
2023-04-02T19:00:00Z,31.3,31.3,,4.9,5.2,4.6,7.941000000000001,8.416,7.466,7.951,8.431,7.471
2023-04-02T20:00:00Z,27.867,27.867,,4.5,4.7,4.3,7.3309999999999995,7.481,7.181,7.3309999999999995,7.481,7.181
2023-04-02T21:00:00Z,27.466,27.466,,4.2,4.4,4,6.784,6.999,6.569,6.784,6.999,6.569
2023-04-02T22:00:00Z,26.025,26.025,,3.6,3.7,3.5,5.6655,5.754,5.577,5.6655,5.754,5.577
2023-04-02T23:00:00Z,30.034,30.034,,3.3,3.5,3.2,5.2275,5.448,5.007,5.231,5.455,5.007
2023-04-03T00:00:00Z,37.867,37.867,,3.4,3.7,3.1,5.4559999999999995,5.911,5.001,5.4559999999999995,5.911,5.001
2023-04-03T01:00:00Z,41,41,,4.6,5,4.2,7.7185,8.251,7.186,7.7185,8.251,7.186
2023-04-03T02:00:00Z,42.967,42.967,,3.3,3.5,3,5.2635000000000005,5.703,4.824,5.2635000000000005,5.703,4.824
2023-04-03T03:00:00Z,44.933,44.933,,3.4,3.6,3.2,5.585,5.912,5.258,5.585,5.912,5.258
2023-04-03T04:00:00Z,45.933,45.933,,3.3,3.5,3,5.375500000000001,5.74,5.011,5.375500000000001,5.74,5.011
2023-04-03T05:00:00Z,46.067,46.067,,3.4,3.7,3.1,5.6495,6.087,5.212,5.6495,6.087,5.212
2023-04-03T06:00:00Z,47.334,47.334,,3.4,3.7,3.2,5.629,6.03,5.228,5.6535,6.046,5.261
2023-04-03T07:00:00Z,49.067,49.067,,3.6,3.9,3.3,6.0495,6.442,5.657,6.0495,6.442,5.657
2023-04-03T08:00:00Z,51.367,51.367,,7.8,8.4,7.2,14.0215,14.633,13.41,14.9295,15.831,14.028
2023-04-03T09:00:00Z,53.466,53.466,,4.6,5,4.2,8.5685,9.193,7.944,8.5685,9.193,7.944
2023-04-03T10:00:00Z,53.133,53.133,,4.8,5.1,4.5,9.035,9.559,8.511,9.035,9.559,8.511
2023-04-03T11:00:00Z,52.767,52.767,,7.9,8.4,7.4,15.6295,16.395,14.864,15.6295,16.395,14.864
2023-04-03T12:00:00Z,50.8,50.8,,12.8,13.6,12,25.98,27.099,24.861,26.037,27.201,24.873
2023-04-03T13:00:00Z,39.1,39.1,,5.9,6.1,5.7,10.859,11.079,10.639,10.941500000000001,11.179,10.704
2023-04-03T14:00:00Z,31.333,31.333,,3.5,3.7,3.4,5.874499999999999,6.135,5.614,5.874499999999999,6.135,5.614
2023-04-03T15:00:00Z,28.267,28.267,,3.2,3.4,3.1,5.1495,5.355,4.944,5.1505,5.357,4.944
2023-04-03T16:00:00Z,22.367,22.367,,3.1,3.3,3,4.966,5.155,4.777,4.966,5.155,4.777
2023-04-03T17:00:00Z,16.834,16.834,,4.8,4.9,4.6,7.8235,7.924,7.723,7.8235,7.924,7.723
2023-04-03T18:00:00Z,17.75,17.75,,4.5,4.5,4.4,7.2435,7.315,7.172,7.2435,7.315,7.172
2023-04-03T19:00:00Z,27.1,27.1,,4.5,4.7,4.3,7.359500000000001,7.723,6.996,7.359500000000001,7.723,6.996
2023-04-03T20:00:00Z,31.634,31.634,,4.2,4.4,4,6.920999999999999,7.181,6.661,6.920999999999999,7.181,6.661
2023-04-03T21:00:00Z,26.466,26.466,,2.2,2.3,2.1,3.1295,3.137,3.122,3.1295,3.137,3.122
2023-04-03T22:00:00Z,27.233,27.233,,3,3.1,2.9,4.718,4.873,4.563,4.718,4.873,4.563
2023-04-03T23:00:00Z,40.566,40.566,,4.6,4.9,4.3,7.7829999999999995,8.109,7.457,7.7829999999999995,8.109,7.457
2023-04-04T00:00:00Z,51.766,51.766,,2.4,2.6,2.2,3.5060000000000002,3.796,3.216,3.5060000000000002,3.796,3.216
2023-04-04T01:00:00Z,51.233,51.233,,1.3,1.5,1.2,1.6415,1.912,1.371,1.6415,1.912,1.371
2023-04-04T02:00:00Z,54.2,54.2,,1.3,1.5,1.2,1.601,1.855,1.347,1.601,1.855,1.347
